,Player,FG%,3P%,2P%,FT%,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,POS,height,weight
0,A.C. Green,0.442,0.062,0.448,0.675,1.89,3.722,5.615,0.865,0.633,0.202,0.602,1.572,5.44,PF,203.0,106.0
1,A.J. Guyton,0.384,0.382,0.381,0.824,0.285,0.75,1.035,1.87,0.245,0.155,0.775,0.785,5.71,PG,208.0,99.0
2,A.J. Hammons,0.405,0.5,0.375,0.45,0.36,1.27,1.64,0.18,0.05,0.59,0.45,0.95,2.18,C,198.0,99.0
3,A.J. Price,0.373,0.273,0.447,0.632,0.251,1.093,1.344,1.971,0.401,0.021,0.753,0.735,5.578,PG,213.0,124.0
4,Aaron Brooks,0.41,0.359,0.444,0.838,0.403,1.268,1.671,3.174,0.591,0.134,1.582,1.932,9.604,PG,183.0,73.0
5,Aaron Gordon,0.458,0.285,0.52,0.703,1.467,3.587,5.053,1.407,0.67,0.56,0.923,1.96,9.043,PF,206.0,99.0
6,Aaron Gray,0.466,0.0,0.471,0.562,1.242,1.96,3.2,0.665,0.29,0.26,0.825,1.948,2.845,C,213.0,122.0
7,Aaron Harrison,0.132,0.15,0.111,0.458,0.095,0.56,0.655,0.35,0.145,0.0,0.095,0.44,0.53,SG,198.0,95.0
8,Aaron McKie,0.402,0.265,0.438,0.739,0.569,2.534,3.104,2.558,1.142,0.16,1.21,1.854,6.366,SG-SF,196.0,94.0
9,Aaron Williams,0.494,0.042,0.498,0.75,1.478,2.552,4.031,0.736,0.4,0.792,0.98,2.461,5.995,PF,206.0,99.0
10,Acie Law,0.414,0.207,0.463,0.764,0.158,0.726,0.882,1.368,0.497,0.022,0.72,0.898,3.93,PG,190.0,88.0
11,Adam Harrington,0.294,0.351,0.269,0.75,0.073,0.45,0.523,0.817,0.12,0.043,0.087,0.523,1.867,SG,196.0,90.0
12,Adam Keefe,0.421,0.111,0.427,0.707,1.077,1.773,2.847,0.577,0.35,0.26,0.697,1.467,2.88,PF,206.0,104.0
13,Adam Morrison,0.361,0.299,0.389,0.667,0.394,1.236,1.632,0.94,0.166,0.062,0.73,1.296,4.788,PF,203.0,92.0
14,Adonal Foyle,0.471,0.0,0.473,0.554,1.74,2.925,4.665,0.35,0.365,1.725,0.9,2.16,4.185,C,208.0,113.0
15,Adonis Jordan,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.75,0.75,0.0,0.5,0.0,1.5,PG,180.0,77.0
16,Adonis Thomas,0.381,0.1,0.528,1.0,0.0,0.625,0.625,0.5,0.0,0.0,0.085,0.75,2.04,SF,201.0,90.0
17,Adreian Payne,0.382,0.143,0.418,0.64,0.866,2.294,3.16,0.584,0.458,0.238,0.806,2.048,4.308,PF,208.0,107.0
18,Adrian Griffin,0.411,0.237,0.421,0.687,0.966,2.052,3.023,1.303,0.864,0.128,0.638,1.788,3.784,SG,196.0,98.0
19,Al Harrington,0.428,0.314,0.459,0.714,1.488,3.844,5.331,1.575,0.85,0.231,1.774,2.991,13.06,PF,206.0,104.0
20,Al Horford,0.531,0.337,0.544,0.746,2.269,6.238,8.507,2.916,0.84,1.241,1.627,2.308,14.392,C,208.0,111.0
21,Al Jefferson,0.501,0.088,0.504,0.704,2.3,6.25,8.55,1.451,0.705,1.173,1.385,2.574,15.954,PF,208.0,131.0
22,Al Thornton,0.466,0.245,0.479,0.752,1.206,2.596,3.801,1.089,0.589,0.418,1.289,2.469,10.379,PF,203.0,99.0
23,Al-Farouq Aminu,0.425,0.291,0.464,0.726,1.401,4.309,5.71,1.231,0.951,0.599,1.289,1.859,7.237,SF,206.0,99.0
24,Alan Anderson,0.402,0.34,0.45,0.802,0.424,1.575,1.998,1.106,0.442,0.086,0.858,1.79,6.778,SF,198.0,99.0
25,Alan Henderson,0.477,0.229,0.478,0.62,2.346,3.163,5.507,0.659,0.623,0.503,1.247,2.237,9.186,PF,206.0,106.0
26,Alan Williams,0.517,0.0,0.519,0.625,2.0,4.21,6.21,0.49,0.57,0.68,0.79,2.66,7.36,C,198.0,90.0
27,Alando Tucker,0.416,0.221,0.465,0.786,0.538,0.38,0.918,0.235,0.042,0.05,0.29,0.413,3.895,SF,203.0,86.0
28,Alec Burks,0.42,0.36,0.435,0.755,0.655,2.412,3.067,1.812,0.588,0.15,1.39,1.915,10.348,SG,198.0,97.0
29,Alex Abrines,0.393,0.381,0.426,0.898,0.26,1.0,1.26,0.59,0.54,0.12,0.49,1.68,5.97,SG,198.0,86.0
30,Alex Acker,0.386,0.263,0.457,0.5,0.253,0.57,0.823,0.41,0.22,0.157,0.223,0.287,2.557,SG,196.0,83.0
31,Alex Garcia,0.346,0.278,0.382,0.75,0.88,1.0,1.88,2.25,0.5,0.12,1.0,1.88,5.5,SG,190.0,99.0
32,Alex Len,0.476,0.242,0.479,0.717,2.123,4.817,6.94,0.757,0.487,1.193,1.417,3.06,7.743,C,216.0,117.0
33,Alex Poythress,0.463,0.316,0.543,0.8,1.83,3.0,4.83,0.83,0.5,0.33,0.5,2.33,10.67,PF,201.0,107.0
34,Alexey Shved,0.371,0.321,0.408,0.787,0.478,1.557,2.035,2.318,0.615,0.185,1.165,1.042,8.475,SG,198.0,86.0
35,Alexis Ajinca,0.453,0.159,0.466,0.748,0.846,2.233,3.079,0.353,0.346,0.546,0.651,2.09,4.466,PF,218.0,112.0
36,Allan Houston,0.441,0.402,0.454,0.875,0.38,2.491,2.871,2.439,0.681,0.141,2.105,2.34,18.279,SG,198.0,90.0
37,Allan Ray,0.386,0.414,0.364,0.764,0.38,1.09,1.47,0.91,0.43,0.06,0.89,1.81,6.17,SG,188.0,86.0
38,Allen Crabbe,0.426,0.405,0.449,0.804,0.195,1.69,1.887,0.89,0.49,0.202,0.515,1.662,6.615,SG,198.0,95.0
39,Allen Iverson*,0.435,0.341,0.455,0.771,0.683,2.659,3.342,5.807,1.843,0.152,3.36,1.717,24.184,PG,183.0,74.0
40,Alonzo Gee,0.432,0.314,0.462,0.693,0.903,1.858,2.759,0.793,0.759,0.189,0.888,1.557,5.536,SG,198.0,102.0
41,Alonzo Mourning*,0.539,0.067,0.541,0.636,2.674,5.78,8.454,1.084,0.424,3.03,2.314,3.082,15.8,C,208.0,108.0
42,Alvin Sims,0.4,1.0,0.333,0.4,0.75,0.25,1.0,1.25,0.5,0.0,1.5,0.5,2.75,SG,193.0,106.0
43,Alvin Williams,0.341,0.271,0.354,0.702,0.455,1.645,2.101,2.896,0.931,0.156,1.136,1.484,6.539,SG,198.0,90.0
44,Amal McCaskill,0.402,0.0,0.405,0.704,0.81,1.44,2.25,0.34,0.2,0.34,0.42,1.51,1.92,C,211.0,106.0
45,Amar'e Stoudemire,0.52,0.155,0.525,0.76,2.364,5.311,7.675,1.23,0.745,1.186,2.152,3.059,18.148,PF,208.0,111.0
46,Amir Johnson,0.586,0.281,0.607,0.712,2.057,3.411,5.468,1.238,0.605,1.051,1.231,3.033,7.887,SF,206.0,108.0
47,Anderson Varejao,0.5,0.015,0.506,0.65,2.53,4.925,7.456,1.262,0.859,0.616,1.017,2.455,7.502,PF,208.0,123.0
48,Andrae Patterson,0.443,0.0,0.467,0.778,0.86,1.0,1.86,0.43,0.54,0.2,0.63,1.77,3.26,PF,206.0,107.0
49,Andray Blatche,0.451,0.229,0.467,0.718,1.732,3.37,5.102,1.313,0.811,0.75,1.52,2.323,9.383,PF,211.0,106.0
50,Andre Barrett,0.38,0.211,0.438,0.733,0.353,0.793,1.146,2.037,0.37,0.017,0.666,0.89,3.713,PG,178.0,78.0
51,Andre Brown,0.568,0.0,0.575,0.6,0.68,1.26,1.95,0.05,0.16,0.11,0.76,0.68,2.45,PF,206.0,111.0
52,Andre Drummond,0.559,0.224,0.561,0.384,4.544,8.03,12.574,0.706,1.224,1.51,1.512,3.04,13.018,C,211.0,126.0
53,Andre Emmett,0.571,0.0,0.667,0.625,0.33,0.67,1.0,0.17,0.33,0.17,0.33,0.33,2.17,SF,196.0,104.0
54,Andre Iguodala,0.47,0.339,0.529,0.688,0.954,4.285,5.241,4.518,1.578,0.469,2.014,1.839,12.815,SG,198.0,97.0
55,Andre Miller,0.475,0.243,0.493,0.789,0.89,2.358,3.247,5.727,1.015,0.144,2.084,1.962,10.326,PG,206.0,102.0
56,Andre Owens,0.37,0.319,0.371,0.701,0.45,0.765,1.215,0.935,0.32,0.05,0.67,1.14,3.485,PG,193.0,90.0
57,Andre Roberson,0.476,0.239,0.598,0.553,1.042,2.668,3.71,0.772,0.805,0.57,0.58,2.108,4.175,SG,196.0,83.0
58,Andrea Bargnani,0.436,0.328,0.466,0.827,0.963,3.564,4.529,1.219,0.372,0.813,1.548,2.274,14.257,PF,213.0,111.0
59,Andrei Kirilenko,0.48,0.295,0.516,0.742,1.744,3.687,5.43,2.758,1.375,1.824,1.904,2.012,11.833,SF,206.0,99.0
60,Andres Nocioni,0.412,0.352,0.443,0.769,0.641,3.665,4.306,1.14,0.411,0.421,1.353,2.651,10.025,SF,201.0,102.0
61,Andrew Bogut,0.508,0.22,0.51,0.5,2.396,6.234,8.633,2.242,0.652,1.545,1.734,3.149,9.309,PF,213.0,117.0
62,Andrew Bynum,0.562,0.067,0.564,0.7,2.54,6.143,8.68,1.207,0.38,1.647,1.9,2.58,13.84,C,213.0,129.0
63,Andrew DeClercq,0.497,0.0,0.499,0.601,2.22,2.62,4.84,0.73,1.05,0.6,1.04,3.42,5.42,C,208.0,104.0
64,Andrew Goudelock,0.42,0.242,0.566,0.834,0.12,0.385,0.515,0.5,0.425,0.125,0.7,0.65,3.565,SG,190.0,90.0
65,Andrew Harrison,0.325,0.276,0.363,0.763,0.32,1.57,1.89,2.75,0.75,0.28,1.18,2.69,5.9,PG,198.0,96.0
66,Andrew Lang,0.378,0.0,0.38,0.772,0.98,1.7,2.68,0.28,0.32,0.47,0.58,1.77,2.67,C,211.0,111.0
67,Andrew Nicholson,0.416,0.258,0.473,0.739,0.485,1.932,2.42,0.357,0.313,0.227,0.573,1.507,4.26,PF,206.0,113.0
68,Andrew Wiggins,0.449,0.322,0.471,0.76,1.397,2.663,4.053,2.13,1.003,0.517,2.23,2.197,20.387,SF,203.0,90.0
69,Andris Biedrins,0.578,0.0,0.581,0.513,2.585,4.975,7.555,1.175,0.71,1.175,1.085,3.355,7.74,C,211.0,108.0
70,Andy Rautins,0.429,0.25,0.667,0.5,0.0,0.2,0.2,0.6,0.2,0.0,1.4,0.0,1.6,SG,193.0,86.0
71,Anfernee Hardaway,0.406,0.305,0.421,0.797,0.87,3.051,3.921,3.27,1.218,0.326,1.787,2.072,10.207,SG,201.0,88.0
